"NUTS_code","NUTS_year","edge","field","low","rich","edge_mha","agriculture","fallow_per"
"D151","D151_2007",49,16,88,12,59.9730754187185,193.83684507341,3.08842425057692
"D155","D155_2007",2,2,58,10,47.9370671044194,102.259652631757,4.17673950868372
"D155","D155_2007",21,7,75,10,44.0448616145318,160.106624444754,7.19410921130031
"D155","D155_2007",6,5,150,10,44.0448616145318,160.106624444754,4.17673950868372
"D152","D152_2007",45,3,71,11,66.4989534839159,173.66567686463,4.34800766777199
"D148","D148_2007",2,1,14,5,48.5704154294147,144.747124268163,3.85739500484828
"D148","D148_2007",2,1,12,5,48.5704154294147,144.747124268163,2.1635680301845
"D146","D146_2007",22,3,70,12,102.444490829629,217.528940329712,3.71186344872086
"D146","D146_2007",21,0,45,8,51.4541847881535,69.0009718209108,3.71186344872086
"D146","D146_2007",13,11,52,10,77.8795798641691,174.690166883428,3.71186344872086
"D146","D146_2007",6,8,60,10,77.8795798641691,174.690166883428,1.47000740781972
"D145","D145_2007",78,85,61,11,26.5639261464432,294.62840216268,2.83332175014045
"D147","D147_2007",21,29,40,6,68.2871070780169,221.47315204149,2.31346696198535
"D148","D148_2007",0,29,21,3,27.4169577221944,261.36583714592,3.85739500484828
"D148","D148_2007",15,11,43,7,27.4169577221944,261.36583714592,2.1635680301845
"D149","D149_2007",11,16,16,4,19.5045691593432,200.605866469359,1.79597264678669
"D149","D149_2007",0,33,38,5,16.982474466306,156.789883041985,3.24271313205237
"D149","D149_2007",13,18,37,6,16.982474466306,156.789883041985,1.79597264678669
"D145","D145_2007",9,15,45,8,23.2291399312047,211.70749725882,4.42127031230377
"D145","D145_2007",6,11,68,9,23.2291399312047,211.70749725882,2.83332175014045
"D145","D145_2007",6,0,24,4,18.6134019186201,51.7204668093503,2.83332175014045
"D145","D145_2007",23,10,138,9,69.1344831011417,172.006765957805,2.1451828745606
